guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:178311,Sorex trowbridgii humboldtensis,178311,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Swede Creek, 7.4 km N, 8 km W Big Bar",Martin G. Raphael 323,1982-12-03,skull,unknown,40.8082293,-123.3468036,2571,96,49,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:101780,Sorex trowbridgii montereyensis,101780,Seth B. Benson,California,Mendocino County,2 mi N Gualala,Seth B. Benson 8879,1945-03-21,"skin, study; skull",male,38.7956145,-123.5276145,4363,123,54,14,9,3,7.1,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:178352,Sorex trowbridgii humboldtensis,178352,Martin G. Raphael,California,Trinity County,"Panochita, 6.8 km S, 2.4 km E Big Bar",Martin G. Raphael 414,1982-11-22,skull,unknown,40.68031,-123.27987,2571,106,49,11,,,,mm,mm,mm,,,,,
MVZ:Mamm:200071,Sorex trowbridgii montereyensis,200071,Steve Lew,California,Monterey County,"Confluence Big Creek and Devil's Creek, UCNRS Big Creek Reserve",,2002-10-31,whole organism (ethanol),unknown,36.0766666667,-121.5941666667,139,,,,,,,,,,,,,,
MVZ:Mamm:11808,Sorex trowbridgii humboldtensis,11808,Frank Stephens,California,Humboldt County,"Freshwater Corners, ca. 4 mi E Eureka",Frank Stephens 3025,1910-08-16,"skin, study; skull",male,40.7853166,-124.0845287,1703,128,62,15,6,,,mm,mm,mm,mm,,,,
MVZ:Mamm:102803,Sorex trowbridgii montereyensis,102803,Seth B. Benson,California,Marin County,West Portal Fort Barry,Seth B. Benson 8969,1945-06-03,"skin, study; skull",unknown,37.8292336,-122.5147549,1873,116,50,14,10,4,5.9,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:178363,Sorex trowbridgii humboldtensis,178363,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Swede Creek, 7.4 km N, 8 km W Big Bar",Martin G. Raphael 443,1982-12-03,skull,unknown,40.8082293,-123.3468036,2571,,43,,,,,,mm,,,,,,
MVZ:Mamm:177980,Sorex trowbridgii humboldtensis,177980,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Swede Creek, 7.4 km N, 8 km W Big Bar",Martin G. Raphael 330,1982-12-03,skull,unknown,40.8082293,-123.3468036,2571,,43,12,,,,,mm,mm,,,,,
MVZ:Mamm:178542,Sorex trowbridgii humboldtensis,178542,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Hennessy Peak, 3.2 km W Burnt Ranch",Martin G. Raphael 1556,1983-05-05,skull,male,40.80611,-123.53139,876,102,42,13,8,,,mm,mm,mm,mm,,,,
MVZ:Mamm:90436,Sorex trowbridgii montereyensis,90436,"William M. Longhurst, Donald V. Hemphill",California,Napa County,Angwin,545,1939-11-24,"skin, study; skull",female,38.5756635,-122.4467024,1552,111,46,14,8,,5,mm,mm,mm,mm,,g,,
MVZ:Mamm:23530,Sorex trowbridgii mariposae,23530,Walter P. Taylor,California,Mariposa County,"Gentry's, Big Oak Flat Rd., Yosemite National Park",Walter P. Taylor 7794,1915-10-25,whole organism (ethanol),unknown,37.7352363,-119.7034868,570,,,,,,,,,,,,,,
MVZ:Mamm:178235,Sorex trowbridgii trowbridgii,178235,Martin G. Raphael,California,Siskiyou County,"Klamath National Forest, Road Junction, 14.4 km N, 0.8 km E Somes Bar",Martin G. Raphael 550,1982-12-14,skull,unknown,41.51127,-123.48023,864,119,55,14,,,,mm,mm,mm,,,,,
MVZ:Mamm:178232,Sorex trowbridgii trowbridgii,178232,Martin G. Raphael,California,Siskiyou County,"Klamath National Forest, Road Junction, 14.4 km N, 0.8 km E Somes Bar",Martin G. Raphael 547,1982-12-14,skull,unknown,41.51127,-123.48023,864,114,50,13,,,,mm,mm,mm,,,,,
