guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:143376,Sorex vagrans vagrans,143376,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 802,1972-02-29,"skin, study; skull",male,49.1167,-122.75,3666,104,40,12,7,3,5.5,mm,mm,mm,mm,mm,g,testes: 4 x 5 mm,
MVZ:Mamm:142373,Sorex vagrans vagrans,142373,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Ladner",Myrnal L. Hawes 545,1971-10-27,"skin, study; skull",unknown,49.0917,-123.0778,4632,95,44,12,7,4,4.1,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:143382,Sorex vagrans vagrans,143382,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 808,1972-02-29,"skin, study; skull",female,49.1167,-122.75,3666,100,42,12,8,4,5.1,mm,mm,mm,mm,mm,g,"pregnant, crown rump (c-r): 7 mm",
MVZ:Mamm:134714,Sorex vagrans vagrans,134714,Walter W. Dalquest,Washington,Skagit County,Strawberry Bay,Walter W. Dalquest 1477,1939-07-06,"skin, study; skull",male,48.5631,-122.7206,496,97,40,12.3,,,8,mm,mm,mm,,,g,,
MVZ:Mamm:134703,Sorex vagrans vagrans,134703,Walter W. Dalquest,Washington,Skagit County,Strawberry Bay,Walter W. Dalquest 1460,1939-07-06,"skin, study; skull",female,48.5631,-122.7206,496,102,45,12.5,,,4.5,mm,mm,mm,,,g,,
MVZ:Mamm:142430,Sorex vagrans vagrans,142430,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 827,1972-02-29,"skin, study; skull",male,49.0833,-123.0833,4149,103,39,12,8,4,5.5,mm,mm,mm,mm,mm,g,testes 4x5 mm,
MVZ:Mamm:169051,,169051,Edward J. Heske,California,Monterey County,Salinas River Wildlife Refuge,Edward J. Heske 417,1982-01-09,skeleton,female,36.740111,-121.803876,322,88,33,11,6,,3,mm,mm,mm,mm,,g,,
MVZ:Mamm:169046,,169046,Edward J. Heske,California,Monterey County,Salinas River Wildlife Refuge,Edward J. Heske 412,1982-01-09,skeleton,male,36.740111,-121.803876,322,99,35,11,7,,5,mm,mm,mm,mm,,g,t = 4x3,
MVZ:Mamm:143111,Sorex vagrans vagrans,143111,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Delta, Westham Island, Westham Island",1928,1972-10-18,"skin, study; skull",male,49.0833,-123.0833,4149,109,49,13,8,4,4.45,mm,mm,mm,mm,mm,g,Testes 1.5 x 2mm,
MVZ:Mamm:115196,Sorex vagrans halicoetes,115196,Robert L. Rudd,California,Alameda County,"Hayward Landing, end of Russell City Rd., salt marsh",Robert L. Rudd 1653,1951-05-21,"skin, study; skull",female,37.6450506,-122.1552454,272,,,,,,,,,,,,,,
